mode,version,point_label,session_count,incoming_cycles,reaction_events,incoming_mean,respawn_mean,health_mean,ammo_flares_mean,ammo_missiles_mean,reaction_mean,source_run_count,generated_at
release,1.6.7,1.6.7,3,1914,31,0.4091,0.3666,0.3618,0.3236,0.3522,0.4478,3,2026-06-08T10:05:00.408347+00:00
release,1.6.8,1.6.8,9,5767,143,0.6164,0.5472,0.5541,0.4922,0.5347,0.5985,9,2026-06-08T10:05:00.408347+00:00
release,1.6.9,1.6.9,8,5570,102,0.5738,0.5099,0.5198,0.4446,0.4963,0.6622,8,2026-06-08T10:05:00.408347+00:00
release,1.6.10,1.6.10,13,10957,347,0.6641,0.59,0.597,0.5294,0.5764,0.5816,13,2026-06-08T10:05:00.408347+00:00
release,1.6.11,1.6.11,31,2303,83,1.3246,1.19,1.2281,1.0911,1.1706,1.3358,31,2026-06-08T10:05:00.408347+00:00
release,1.6.12,1.6.12,1,226,26,0.8303,0.741,0.7359,0.6357,0.7113,0.9188,1,2026-06-08T10:05:00.408347+00:00
release,1.6.13,1.6.13,28,2698,62,0.8681,0.7875,0.7868,0.6992,0.7576,0.9343,28,2026-06-08T10:05:00.408347+00:00
release,1.6.14,1.6.14,10,2806,64,0.5214,0.4644,0.4663,0.4081,0.4478,0.5308,10,2026-06-08T10:05:00.408347+00:00
release,1.6.15,1.6.15,22,16698,640,0.6068,0.558,0.5675,0.4932,0.5394,0.4232,22,2026-06-08T10:05:00.408347+00:00
release,1.6.16,1.6.16,8,5780,315,0.7476,0.6956,0.7101,0.617,0.6731,0.4476,8,2026-06-08T10:05:00.408347+00:00
